datum,georegion,entries
2021-01-01,CHFL,136
2021-01-02,CHFL,177
2021-01-03,CHFL,143
2021-01-04,CHFL,189
2021-01-05,CHFL,143
2021-01-06,CHFL,136
2021-01-07,CHFL,158
2021-01-08,CHFL,140
2020-07-03,VS,0
2020-07-04,VS,0
2020-07-05,VS,0
2020-10-15,CH,101
2020-10-16,CH,111
2020-10-17,CH,117
2020-10-18,CH,74
2020-10-19,CH,162
2020-10-22,CH,169
2020-10-23,CH,204
2020-07-06,VS,0
2020-07-07,VS,1
2020-07-08,VS,0
2020-07-09,VS,1
2020-07-10,VS,0
2020-07-11,VS,1
2020-07-12,VS,1
2021-01-09,CHFL,117
2021-01-10,CHFL,84
2021-01-11,CHFL,133
2021-01-12,CHFL,100
2021-01-13,CHFL,121
2021-01-14,CHFL,98
2021-01-15,CHFL,94
2021-01-17,CHFL,67
2021-01-18,CHFL,116
2021-01-19,CHFL,89
2021-01-20,CHFL,86
2021-01-21,CHFL,87
2021-01-22,CHFL,94
2021-01-23,CHFL,41
2021-01-24,CHFL,36
2021-01-25,CHFL,81
2021-01-26,CHFL,84
2021-01-27,CHFL,66
2021-01-28,CHFL,72
2021-01-29,CHFL,61
2021-01-30,CHFL,56
2021-01-31,CHFL,47
2021-02-01,CHFL,76
2021-02-02,CHFL,67
2021-02-03,CHFL,68
2021-02-04,CHFL,60
2021-02-05,CHFL,56
2021-02-06,CHFL,54
2021-02-07,CHFL,46
2021-02-08,CHFL,65
2021-02-09,CHFL,43
2021-02-10,CHFL,50
2021-02-11,CHFL,50
2021-02-12,CHFL,47
2021-02-13,CHFL,35
2021-02-14,CHFL,40
2021-02-15,CHFL,40
2021-02-16,CHFL,48
2021-02-17,CHFL,50
2021-02-18,CHFL,67
2021-02-19,CHFL,46
2021-02-20,CHFL,27
2021-02-21,CHFL,35
2021-02-22,CHFL,45
2021-02-23,CHFL,42
2021-02-24,CHFL,48
2021-02-27,CHFL,30
2021-02-28,CHFL,34
2021-03-01,CHFL,47
2021-03-02,CHFL,58
2021-03-03,CHFL,59
2021-03-05,CHFL,55
2021-03-06,CHFL,43
2021-03-07,CHFL,40
2021-03-08,CHFL,64
2021-03-09,CHFL,39
2021-03-10,CHFL,57
2021-03-11,CHFL,49
2021-03-12,CHFL,54
2021-03-13,CHFL,43
2022-03-04,SZ,2
